Id,Title,Submitter,Accepted track,Content
34,Matematyczne ciekawostki bez fizycznego znaczenia,Mikołaj Dettlaff,S,"W historii fizyki wielokrotnie zdarzało się, że równania matematyczne prowadziły do przewidywań uznawanych początkowo za kuriozalne lub wręcz bezsensowne. Z biegiem czasu okazywało się jednak, że te „matematyczne ciekawostki bez fizycznego znaczenia” opisują rzeczywiste zjawiska w przyrodzie. Moje wystąpienie będzie popularnonaukowym przeglądem kilku klasycznych przykładów, w których czysta matematyka wyprzedziła eksperyment. Co ciekawe, taka sytuacja zdarzała się w wielu różnych dziedzinach fizyki, kompletnie od siebie niezależnych. Od teorii względności, czarnych dziur i fal grawitacyjnych, przez antymaterię i tunelowanie kwantowe, aż po bozon Higgsa. Każdy z tych przypadków pokazuje, że matematyczna struktura teorii fizycznych nie jest jedynie narzędziem obliczeniowym, lecz źródłem autentycznych odkryć o naturze naszego świata. Moja prezentacja ma na celu podkreślenie roli matematycznego formalizmu i rygoru w procesie fizycznego poznania oraz ukazanie, jak „dziwne” rozwiązania równań potrafią ujawniać głęboko ukrytą rzeczywistość."
81,Tęczowe sześciokąty i grupy permutacji,Jagna Olszewska,T,"Jednym z fundamentalnych przykładów grup są grupy permutacji $S_n$ dla $n\ge 3$. W tej rodzinie szczególnie wyróżnia się grupa $S_6$, gdyż jako jedyna posiada automorfizm zewnętrzny, czyli taki który nie jest postaci $x\mapsto gxg^{-1}$ dla pewnego $g\in S_6$. Okazuje się, że automorfizmy zewnętrzne $S_6$ można skonstruować geometrycznie przy pomocy pewnego pokolorowania sześciokątów. W czasie wykładu postaram się przestawić tę  konstrukcję, a także związki z innymi obiektami matematycznymi oraz z pewną zabawką dla psa."
64,Jak proste twierdzenie z analizy pomogło rozwiązać problem milenijny - Różne postacie twierdzenia o funkcji odwrotnej,Stanisław Dombrowski,T,"Dobrze znane jest twierdzenie o funkcji odwrotnej, często wykładane na pierwszych semestrach analizy matematycznej. Jest ono zazwyczaj formułowane jako twierdzenie dotyczące funkcji $f: \mathbb{R}^n \to \mathbb{R}^n$. W trakcie referatu przyjrzymy się w jaki sposób to twierdzenie może zostać uogólnione, najpierw do przestrzeni Banacha, a następnie do przestrzeni Frecheta, zgodnie z formulacją Richarda Hamiltona z 1982 roku. Wprowadzimy potrzebne definicje oraz przyjrzymy się faktowi, że twierdzenie to sformułowane na przestrzeniach Frecheta, jest równoważne uogólnieniu twierdzenia Nasha o zanurzaniu, ważnemu twierdzeniu z teorii rozmaitości Riemannowskich. Zobaczymy w jaki sposób to zaskakujące powiązanie miało wpływ na późniejsze prace Hamiltona oraz Grigoriego Perelmana, co pozwoliło między innymi udowodnić hipotezę Poincare."
36,Słów kilka o twierdzeniu Taniyamy-Shimury-Weila oraz krzywych eliptycznych.,Mateusz Rajzer,T,"Twierdzenie Taniyamy-Shimury-Weila (TSW) stanowi jedno z najważniejszych osiągnięć matematyki XX wieku, łącząc teorię krzywych eliptycznych z formami modularnymi. Jego udowodnienie przez Andrew Wilesa w 1994 roku miało fundamentalne konsekwencje - w szczególności, w połączeniu z twierdzeniem Ribeta, doprowadziło do rozwiązania Wielkiego Twierdzenia Fermata.
W referacie przedstawiona zostanie intuicja stojąca za TSW. Rozpoczniemy od omówienia podstaw teorii krzywych eliptycznych i ich struktury, a następnie przejdziemy do form modularnych. Pokażemy, że kluczową rolę w powiązaniu tych dwóch dziedzin odgrywają ich funkcje $L$; to właśnie modularność tych funkcji stanowi sedno TSW.
W dalszej części naszkicujemy główne narzędzia używane w dowodzie, takie jak reprezentacje Galois oraz deformacje modularne. Referat zostanie wzbogacony o wybrane ilustracje i przykłady geometryczne, które pomogą lepiej zrozumieć omawiane idee, czyniąc prezentację zarówno precyzyjną, jak i przystępną."
23,Gry karciane set - problem cap set w klasycznym secie,Dominik Gąska,T,"W referacie przedstawię zasady gry set i podam jej matematyczną interpretację. Pokażę kilka prostych faktów na jej temat i zajmę się problemem cap set (problem szukania zbioru punktów w którym nie ma punktów tworzących prostą w Z_3^4) w wymiarach 2, 3 i 4. Krótko omówię problem cap set w wyższych wymiarach. Powiem czym jest gra ""typu"" set i opowiem o systemach trójkowych Steinera i rzutowym secie."
49,"Algorytm Buchbergera, czyli geometria algebraiczna na palcach",Bartosz Bogulas,T,"Podstawowym obiektem badań w geometrii algebraicznej są rozmaitości algebraiczne, czyli zbiory układów równań wielomianowych. W przeciwieństwie do układów liniowych, wielomianowe układy równań wielu zmiennych nie poddają się prostym metodom eliminacji ani rachunkowi macierzowemu. Z pomocą przychodzą bazy Gröbnera, które przekształcają zbiór generujący ideał wielomianów w postać kanoniczną, z której eliminacja zmiennych, rozwiązywanie układów oraz badanie własności strukturalnych staje się przejrzyste.

W refereacie, poprzez konkretne przykłady, przedstawimy algorytm dzielenia z resztą w $k[x_1, \dots , x_n]$ oraz algorytm Buchbergera, który w konstruktywny sposób pozwala nam wyznaczyć bazę Gröbnera."
7,Prosto do zderzenia - wykrywanie kolizji i ray tracing,Mikołaj Mijakowski,S,"Problem wykrywania kolizji znany jest każdemu z życia codziennego, jednak gdy próbujemy go wyjaśnić komputerowi dzieje się coś bardzo dziwnego. Problem robi się skomplikowany. Ale nie obliczeniowo, to zazwyczaj nie jest takie trudne, kłopotliwa jest sama ilość tych, wydawałoby się, dość prostych obliczeń.

W trakcie prezentacji przedstawię krótki wstęp teoretyczny do problemu wykrywania kolizji pomiędzy siatkami trójkątowymi i przedstawię nowe pomysły, jak można wykorzystać rdzenie sprzętowego śledzenia promieni do testowania kolizji."
43,Między wierszami - jak model LDA ujawnia prawdziwą tematykę w erze nadmiaru tekstu,Wiktor Waksmundzki,S,"W dobie nadmiaru informacji i łatwości publikacji treści efektywne określenie
głównej tematyki dużych zbiorów tekstowych staje się wyzwaniem. W takim
przypadku tradycyjna analiza jest czasochłonna i nieefektywna. Odpowiedzią na
to wyzwanie są nowoczesne metody analizy tekstu, w tym model ukrytej alokacji
Dirichleta (LDA – Latent Dirichlet Allocation), który pozwala na identyfikację
ukrytych tematów na podstawie rozkładów prawdopodobieństwa współwystę-
powania słów. Dzięki wykorzystaniu języków programowania takich jak Python
czy R możliwe jest zautomatyzowanie tego procesu i przeprowadzenie analizy
nawet na bardzo dużych zbiorach danych. W referacie przedstawiono ogólne
założenia modelu LDA, jego implementację oraz przykładowe wyniki analizy
tematycznej przeprowadzonej na wybranym korpusie tekstów. Uzyskane wyniki potwierdzają przydatność tego podejścia w eksploracji danych tekstowych
i identyfikacji dominujących tematów badawczych."
45,Algorytmiczna analiza układów dynamicznych przy skończonej rozdzielczości.,Wojciech Jaworek,S,"Analiza nieliniowych układów dynamicznych jest często trudna, szczególnie dla wysokowymiarowych układów oraz takich, które są chaotyczne.
W referacie przedstawiamy metodę analizy dynamiki układu zadanego przez ciągłe odwzorowanie $f\colon X\ni x_t\mapsto x_{t+1} \in X$ polegającą na dyskretyzacji przestrzeni fazowej na skończony zbiór $n$-kostek, $\mathcal{X}$. Dzięki takiemu podziałowi możemy skonstruować wielowartościowe odwzorowanie $\mathcal{F}\colon \mathcal{X}\multimap \mathcal{X}$, które interpretujemy jako ważony graf skierowany, opisujący odwzorowanie kostek w siebie nawzajem. Taka reprezentacja układu pozwala na użycie efektywnych algorytmów grafowych np. w celu poszukiwania punktów stałych, orbit okresowych lub określenia czy układ jest topologicznie tranzytywny przy ustalonej skończonej rozdzielczości [1,2]. Dla układów, w których występuje zjawisko wędrówki chaotycznej [3], gdzie trajektorie przejawiają złożoną dynamikę łączącą chaos z momentami uporządkowanego ruchu w pobliżu quasi-atraktorów, proponujemy metodę filtracji grafu $\mathcal{F_\tau}$ pozwalającą na odseparowanie interesujących nas obszarów od chaotycznych przejść. Nadawanie wag krawędziom grafu $\mathcal{F_\tau}$ pozwala także na wykorzystanie metod statystycznych, takich jak wyznaczenie rozkładu stacjonarnego powstałego łańcucha Markowa oraz śledzenie przejść pomiędzy quasi-atraktorami w sposób ilościowy.  Pokażemy wyniki zastosowania powyższych metod do analizy dwóch typów układów dynamicznych: klasycznego odwzorowania Henona, w którym obserwuje się dynamikę chaotyczną, oraz układu sprzężonych odwzorowań jednowymiarowych, w którym zaobserwować można zjawisko wędrówki chaotycznej.


[1] Arai, Z., Kalies, W., Kokubu, H., Mischaikow, K., Oka, H. & Pilarczyk, P. (2009). A Database Schema for the Analysis of Global Dynamics of Multiparameter Systems. *SIAM Journal on Applied Dynamical Systems*, **8**(3), 757–789.

[2] Luzzatto, S. & Pilarczyk, P. (2011). Finite resolution dynamics. *Foundations of Computational Mathematics*, **11**(2), 211–239. 

[3] Kaneko, K. & Tsuda, I. (2003). Chaotic itinerancy. *Chaos*, **13**(3), 926–936."
39,Matematyka Żonglowania,Kacper Błachut,T,"Przedstawimy teorię matematyczną opisującą żonglowanie. Pokażemy często używane notacje opisujące procesy związane z tą dziedziną. Wyprowadzimy wzór na ilość unikalnych sposobów żonglowania. Udowodnimy kilka prostych twierdzeń związanych z kuglarstwem. Zdefiniujemy żonglowania pierwsze i pokażemy kilka ich własności. Odnotujemy powiązanie żonglowania z innymi działami matematyki, m. in. teorią grafów i teorią warkoczy. Wszystkiemu będą towarzyszyć demonstracje żonglowania na żywo."
51,Matematyka w kryptografii. Od liczb pierwszych do RSA,Dominika Baran,P,"Plakat przedstawia rolę matematyki w kryptografii na przykładzie algorytmu RSA, opartego na teorii liczb i algebrze modularnej. Omówiono znaczenie liczb pierwszych dla bezpieczeństwa szyfrowania oraz zasadę działania RSA — od generowania kluczy po proces szyfrowania i odszyfrowywania. Zaprezentowano także praktyczne zastosowania RSA w certyfikatach cyfrowych, podpisach elektronicznych i technologii blockchain. Celem plakatu jest ukazanie, że abstrakcyjne pojęcia matematyczne mają kluczowe znaczenie dla bezpieczeństwa współczesnych systemów informatycznych, łącząc teorię z praktyką w ochronie danych."
8,Wycena opcji finansowych z wykorzystaniem metody Monte Carlo,Paweł Lotko,S,"Problem wyceny opcji finansowych jako instrumentu pochodnego jest zadaniem bardzo złożonym, w praktyce stosuje się szereg metod numerycznych i statystycznych w celu przybliżenia ich rzeczywistej wartości. Najbardziej elastyczną pod względem jej stosowania jest metoda Monte Carlo, której skuteczność przy wycenie opcji europejskich jest powszechnie znana, jednak w przypadku opcji amerykańskich nadal stanowi problem otwarty. W swoim referacie z matematycznego punktu widzenia przedstawię opcje europejskie i amerykańskie oraz omówię istotę problemu wyceny opcji amerykańskich z wykorzystaniem wspomnianej metody. Na koniec prezentacji podam również ważniejsze wyniki i propozycje rozwiązań tego problemu."
37,Znaczenie pojęcia styczności w twierdzeniach o istnieniu miejsc zerowych,Karolina Fisiak,T,"Nie trzeba nikogo przekonywać o istotności twierdzeń orzekających o istnieniu miejsc zerowych odwzorowań ciągłych. W moim referacie postaram się Was przekonać o tym, że pojęcie styczności odgrywa w tego typu twierdzeniach bardzo istotną rolę. Okazuje się bowiem, że dzięki niemu można na wiele z twierdzeń o istnieniu zer spojrzeć z zupełnie nowej perspektywy! Na referacie zdefiniuję, czym jest stożek styczny do zbioru, żeby później, korzystając z twierdzenia Browdera opowiedzieć o kilku twierdzeniach o istnieniu miejsc zerowych (m.in. tw. Poincaré-Mirandy i tw. Vrahatisa), w których styczność się kryje, choć nie zawsze widać ją na pierwszy rzut oka."
66,"Czy kwadrat ""jednostki urojonej"" zawsze wynosi -1?",Michał Stadnik,T,"Wychodząc od tytułowego pytania, w referacie omówię, co stanie się, gdy odejdziemy od kanonicznej definicji liczb zespolonych. Skupię się na trzech rozszerzeniach liczb rzeczywistych: klasycznych liczbach zespolonych oraz mniej znanych liczbach dualnych i hiperbolicznych, przy okazji wprowadzając pojęcie algebry nad ciałem. Każdy z tych systemów opiera się na innej definicji „jednostki urojonej”, której kwadrat wynosi odpowiednio -1, 0 oraz 1. Każda z tych algebr prowadzi do innej geometrii płaszczyzny, co uwidacznia się np. w kształcie okręgu jednostkowego. Następnie przejdę do omówienia liczb dualnych oraz hiperbolicznych i ich wykorzystania odpowiednio: w różniczkowaniu automatycznym oraz w transformacji Lorentza. Całość pozwoli spojrzeć na ""jednostkę urojoną"" nie jako na zwykłą stałą, a jako element definiujący strukturę i własności całej płaszczyzny."
75,Dlaczego norma nie potrafi przestać być ciągła? — od przestrzeni Banacha po egzotyczne przykłady,Agnieszka Marszk,T,"W plakacie omówione zostanie pojęcie ciągłości normy w przestrzeniach
wektorowych unormowanych. Zaczniemy od klasycznego dowodu ciągłości
normy, pokazującego, że każda norma jest funkcją Lipschitzowską ze
stałą 1. Następnie przeniesiemy uwagę na przykłady nietypowych i
„egzotycznych” norm – od standardowych norm do zniekształconych norm, a także w przestrzenie nieskończenie wymiarowe, gdzie intuicja geometryczna często zawodzi. W
drugiej części spróbujemy „zepsuć” normę, łamiąc jej aksjomaty, by
zobaczyć, jak i kiedy ciągłość zanika.

Celem plakatu jest pokazanie, że ciągłość normy nie jest przypadkowa
– wynika z jej geometrycznej natury i ścisłego związku między strukturą
liniową a metryczną przestrzeni. W plakacie znajdą się przykłady
geometryczne oraz wizualne kul jednostkowych dla różnych norm."
61,Grupy wolne,Zuzanna Żurek,P,"Tematyką plakatu jest pojęcie grupy wolnej - jednej z najbardziej podstawowych i uniwersalnych struktur algebraicznych, znajdującej zastosowanie m.in. w paradoksalnym rozkładzie kuli czy lingwistyce.
Grupa wolna F(X) generowana przez dany zbiór X zawiera nieredukowalne iloczyny złożone z elementów zbioru X oraz ich odwrotności.
Na plakacie zaprezentowane zostaną przykłady oraz kilka ciekawych własności tych grup, m.in. izomorficzność F({x}) ze zbiorem liczb całkowitych, paradoksalność grupy F({x,y}) czy własność uniwersalności orzekająca, że dowolna grupa jest homomorficznym obrazem pewnej grupy wolnej."
9,"Sterty, czyli grupy, w których nie został wybrany element neutralny",Sara KopczyÅska,T,"Sterta jest pewnym uogólnieniem pojęcia grupy - zamiast standardowego działania dwuargumentowego spełniającego trzy aksjomaty (łączności oraz istnienia elementów odwrotnych i neutralnego), w stercie definiujemy działanie trójargumentowe spełniające dwa aksjomaty (łączności i identyczności Mal'cev'a). Okazuje się, że istnieje wzajemna jednoznaczność pomiędzy stertami a grupami - na każdej stercie można zdefiniować grupę oraz na każdej grupie można skonstruować stertę za pomocą działania danej grupy. Sterty pozwalają na zdefiniowanie przestrzeni afinicznych w sposób niezależny od wyboru przestrzeni liniowej oraz stanowią podstawę konstrukcji wiązarów - struktury algebraicznej będącej wspólnym uogólnieniem pierścieni i klamerek. Na referacie przedstawię definicję stert oraz opowiem o ich wyżej wymienionych własnościach ."
74,Hipoteza Continuum: zabij i wskrześ,Michał Przyborowski,P,"W roku 1963 Paul Cohen wykazał, że nie da się udowodnić hipotezy Continuum na gruncie aksjomatów ZFC. Dokonał tego, wprowadzając nową technikę zwaną wymuszaniem (forcing), którą przedstawię na plakacie i w ten sposób ""zabiję"" hipotezę Continuum w jednym modelu. Następnie użyjemy tej samej techniki aby ją ""wskrzesić"" w innym modelu, dzięki czemu pokażemy, że jest ona niezależna od aksjomatów ZFC."
